year,age,mortality_sex_ratio
1918,37,2.57618
1918,38,2.22973
1918,39,2.19075
1918,40,2.07447
1918,41,2.00065
1918,42,1.80725
1918,43,1.61587
1918,44,1.59695
1918,45,1.57416
1918,46,1.53343
1918,47,1.36600
1918,48,1.33126
1918,49,1.32469
1918,50,1.31443
1918,51,1.30444
1918,52,1.29641
1918,53,1.35986
1918,54,1.29331
1918,55,1.33254
1918,56,1.36513
1918,57,1.37919
1918,58,1.37065
1918,59,1.41164
1918,60,1.38820
1918,61,1.42336
1918,62,1.39307
1918,63,1.35380
1918,64,1.37884
1918,65,1.35048
1918,66,1.36655
1918,67,1.37819
1918,68,1.33043
1918,69,1.35098
1918,70,1.40975
1918,71,1.42206
1918,72,1.43266
1918,73,1.35459
1918,74,1.29337
1918,75,1.28144
